title,abstract,section
Fresh Hope That a Stolen Caravaggio ‘Nativity’ Could Be Found,A Mafia turncoat said that a painting taken nearly 50 years ago in Palermo may have been cut into pieces and sold by a Swiss art dealer.,Arts
‘Arrested Development’: We Sat Down With the Cast. It Got Raw.,"In a wide-ranging conversation about the new season, cast members became emotional as they discussed accusations of sexual misconduct against Jeffrey Tambor.",Arts
"About Samantha Bee, Ivanka Trump and That Word",A conversation about that thing Samantha Bee said about Ivanka Trump. You know. THAT thing.,Arts
Jason Bateman Apologizes to Jessica Walter Over Jeffrey Tambor Comments,"Mr. Bateman and an “Arrested Development” co-star, Tony Hale, issued apologies on Thursday after critics said they excused Mr. Tambor’s abusive on-set behavior.",Arts
Oneohtrix Point Never’s Quest to Make Music That Freaks People Out,"The electronic composer Daniel Lopatin prefers difficult concepts and challenging sounds. His new album, “Age Of,” continues his “perpetual state of disbelief.”",Arts
"O’Keeffe’s Paradise, Lost and Found","Maui, Wowee: Georgia O’Keeffe’s largely unknown Hawaiian paintings and sketches surface in the Bronx, at the New York Botanical Garden.",Arts
Robert Indiana’s Best: A Mini Retrospective,"From Herman Melville to Mae West, pinball machines to a slave ship, Robert Indiana drew his inspiration from American sources, with deeply personal meanings.",Arts
The Underground Science Festi￿val Has New Faces to Introduce to You,A weeklong festival at Caveat combines science and humor to bring attention to underrepresented scientists.,Arts
Review: ‘Pose’ Demands to Be Seen,"Like the 1980s balls it depicts, Ryan Murphy’s new series tries on a number of styles, but at its best, they cohere into a vibrant look.",Arts
"Defending Woody Allen, Moses Farrow Says Mia Farrow Was Abusive","In an essay, the director’s son cast dismissed accusations of his sister, Dylan Farrow. She called his comments hurtful.",Arts
Seth Meyers Assails Donald Trump for His Attacks on the F.B.I.,"The president accused the F.B.I. of putting a “mole” in his campaign — even though, Mr. Meyers added, “they knew full well that campaign was supposed to be weasels-only.”",Arts
Imagining a World Ruled by Women,Three plays in Germany present very different ideas about women in roles of authority.,Arts
"Review: ‘Fauda’ Returns on Netflix, Guns Blazing","The second season of the down-and-dirty Israeli counterterrorism thriller is a lot like the first, but this time with ISIS.",Arts
Meghan Markle and the Bicultural Blackness of the Royal Wedding,Many elements of Saturday’s ceremony bridged Meghan Markle’s African-American identity with the black British one that she was about to enter.,Arts
How a Digital Rabbit Hole Gave Midori Takada’s 1983 Album a Second Life,"“Through the Looking Glass” sold poorly upon its release, but a YouTube algorithm later brought it fresh attention; now the Japanese musician is on a U.S. tour.",Arts
Mom-Coms Latch On to the Raw Reality of New Motherhood,"Series like “The Letdown,” “Motherland,” “SMILF” and “Catastrophe” are part of a new crop of comedies that find humor (and aches) in depictions of new mothers.",Arts
James Corden Skeptical of Donald Trump’s Judgment on Kim Jong-un,"President Donald Trump said he’d use his “touch” and “feel” to gauge Kim’s sincerity. Corden said the last time Donald Trump tried that, “he had to pay Stormy Daniels $130,000.”",Arts
James Corden Skeptical of Donald Trump’s Judgment on Kim Jong-un,"President Donald Trump said he’d use his “touch” and “feel” to gauge Kim’s sincerity. Corden said the last time Donald Trump tried that, “he had to pay Stormy Daniels $130,000.”",Arts
Review: Taking Another Spooky Hike Up ‘Hanging Rock’,A six-episode series on Amazon retells a tale of Victorian-era repression and vanishing Australian schoolgirls.,Arts
‘LOVE’ and Other Four-Letter Words,"Somewhere in Robert Indiana’s home in Maine, there may exist an early version of his famous image — one that will startle his fans.",Arts
Fun Things to Do in New York for Memorial Day Weekend,"Music, bars and movies on rooftops. It’s Memorial Day weekend. Finally.",Arts
11 of Our Best Weekend Reads,"A summer reading guide, the joys of eating alone, a lonesome Brooklyn widow falls victim to fraud, the Warriors’ halftime routine, and more.",Arts
The European Union Is Under Threat. Artists Say It’s Time to Rebrand.,"A group led by Wolfgang Tillmans and Rem Koolhaas is discussing how the organization can “be recognized as a force for good, rather than as a faceless bureaucracy.”",Arts
Robert Indiana Had All but Vanished in Recent Years. Some Friends Wondered Why.,A company that represented the artist says in a lawsuit that Mr. Indiana’s caretaker on a Maine island had shut him off from the rest of the world.,Arts
They Suffered for Their Cézanne Portraits,"In the National Gallery of Art’s major survey of Cézanne’s stirring, troubling portraits, he treats family and friends with affectionate digs.",Arts
Farm-to-Table in the Shadow of Downtown Detroit,"In her “no-waste kitchen” at Lady of the House, Kate Williams sees a way of investing in her city and the farmers three blocks down.",Food
Dairy Farms Find a Lifeline: Beer,"Faced with declining prices and demand, dairies have opened breweries and taprooms to maintain their way of life.",Food
Dairy Farms Find a Lifeline: Beer,"Faced with declining prices and demand, dairies have opened breweries and taprooms to maintain their way of life.",Food
What to Cook This Week,"Make a great new recipe for a simple fish fry from Archana Pidathala, and maybe knock out a black-bean soup for the days ahead.",Food
The Spotted Pig Restaurant Empire Is Fracturing,"Since Ken Friedman was accused of sexual harassment, the business he started with April Bloomfield has shed one restaurant and several key employees.",Food
"The Tastes of Summer, Ranked",Peach vs. watermelon. Kielbasa vs. hot dog. Fudgsicle vs. Chipwich. New York Times food critics and writers assess the season’s peak pleasures.,Food
What to Cook This Weekend,"A personal pan pizza recipe from Anthony Falco of Roberta’s should be high on your list, as should Dolester Miles’s lemon meringue tart and coconut pecan cake.",Food
"From Campania’s Volcanic Soils, Whites in Multiple Colors","The assignment was to compare three fianos, but one of those white wines turned out to be something else entirely.",Food
An Especially Summery Take on Spaghetti and Clams,"In this stellar, casual pasta dish, a spicy, tomatoey broth infuses the shellfish with flavor while also serving as the sauce.",Food
"Reviving Ancient Spanish Vineyards, Building New Traditions","In the hills outside of Madrid, Comando G prospects for old vines of garnacha at high altitudes, and makes wonderfully fresh, distinctive wines.",Food
"At Trump Tower, Michael Cohen and Oligarch Discussed Russian Relations","The meeting, which took place 11 days before the inauguration, preceded a $1 million contract Mr. Cohen received from a firm tied to the Russian oligarch.",U.S.
"White House to Impose Metal Tariffs on Key U.S. Allies, Risking Retaliation","The tariffs on imported steel and aluminum from Canada, the European Union and Mexico are meant to fulfill President Donald Trump’s vows to protect American industry, but they are drawing a fierce response.",U.S.
Hillary and Bill Clinton Go Separate Ways for 2018 Midterm Elections,"Mrs. Clinton plans to endorse Andrew M. Cuomo for governor of New York this week. But elsewhere on the 2018 campaign trail, she and Mr. Clinton are not always welcome.",U.S.
Fewer Immigrants Are Reporting Domestic Abuse. Police Blame Fear of Deportation.,"The immigrant population grew significantly in Houston last year, yet the city saw a 16 percent drop in domestic violence reports from Hispanics.",U.S.
The Trouble With the Memphis Airport: No Crowds,The spacious terminal built for when the Tennessee city was a bustling air travel hub has become a half-deserted white elephant that the airport is spending millions to shrink.,U.S.
"Jon Tester, a Democrat in Deep-Red Montana, Isn’t Sweating Donald Trump’s Threats","President Donald Trump may have put a big target on Senator Jon Tester’s back, but the Democrat is confident that Montanans know where he stands.",U.S.
Judge in Emoluments Case Questions Defense of Donald Trump’s Hotel Profits,A federal judge in Maryland seemed sympathetic to the plaintiff’s arguments that the president may be violating the Constitution.,U.S.
Judge in Emoluments Case Questions Defense of Donald Trump’s Hotel Profits,A federal judge in Maryland seemed sympathetic to the plaintiff’s arguments that the president may be violating the Constitution.,U.S.
Donald Trump’s Lawyer and Chief of Staff Appear at Briefings on F.B.I.’s Russia Informant,"The presence of Emmet T. Flood, a lawyer representing the president in the Russia investigation, and John F. Kelly, the chief of staff, at the start of the classified meetings infuriated Democrats.",U.S.
Donald Trump Grappling With Risks of Proceeding With North Korea Meeting,"President Donald Trump was surprised and angered by a statement issued by the North’s chief nuclear negotiator, who declared that the country would not swap its nuclear weapons capability for economic aid.",U.S.
Republican Leaders Will Be Allowed to See Some Information on Russia Investigation,Intelligence and law enforcement officials had said the information was highly delicate and that it was not appropriate to turn over unredacted material to Congress.,U.S.
Supreme Court Allows Arkansas Abortion Restrictions to Stand,"In turning down an appeal, the court put two of the state’s three abortion clinics at risk of closing.",U.S.
When the President Testified: People in the Room Recall Clinton’s 1998 Interrogation,"The date was Aug. 17, 1998. President Bill Clinton testified before a grand jury. Twenty years later, people in the room and those waiting nearby share their memories.",U.S.
Meet the Members of the ‘Shadow N.S.C.’ Advising John Bolton,The new national security adviser has been quietly taking advice from a few longtime associates. Some have business interests that overlap with the National Security Council.,U.S.
California Today: Koreatown’s Wary Response to the Trump-Kim Meeting,"Tuesday: Koreans in California react to the Singapore summit meeting, the federal government investigates U.S.C., and a “Saved by the Bell” dining experience.",U.S.
